from	to
000419926100001	A1983PY32000010
000419670000015	A1983PY32000010
000419520400001	A1983PY32000010
000419403800076	A1983PY32000010
000419438000001	A1983PY32000010
000494315600124	A1983PY32000010
000493303000012	A1983PY32000010
000491539600064	A1983PY32000010
000482557800007	A1983PY32000010
000477051800027	A1983PY32000010
000456051000009	A1983PY32000010
000465822500028	A1983PY32000010
000465207700013	A1983PY32000010
000462134500002	A1983PY32000010
000462291100003	A1983PY32000010
000460476300022	A1983PY32000010
000457166200029	A1983PY32000010
000457793300018	A1983PY32000010
000457913100008	A1983PY32000010
000457580800001	A1983PY32000010
000456331600003	A1983PY32000010
000456122300004	A1983PY32000010
000456075500003	A1983PY32000010
000427073200004	A1983PY32000010
000436469200010	A1983PY32000010
000418979600010	A1983PY32000010
000418998600008	A1983PY32000010
000452696800082	A1983PY32000010
000423249100016	A1983PY32000010
000422844100005	A1983PY32000010
000419385100005	A1983PY32000010
000430732800004	A1983PY32000010
000447497600002	A1983PY32000010
000442757200004	A1983PY32000010
000447248100002	A1983PY32000010
000452190600009	A1983PY32000010
000426951000003	A1983PY32000010
000450682400002	A1983PY32000010
000450078200010	A1983PY32000010
000448241200027	A1983PY32000010
000448191300004	A1983PY32000010
000446756900002	A1983PY32000010
000445512800001	A1983PY32000010
000444993600005	A1983PY32000010
000445048200004	A1983PY32000010
000444442600010	A1983PY32000010
000442689700008	A1983PY32000010
000441632600005	A1983PY32000010
000439716300005	A1983PY32000010
000438757000003	A1983PY32000010
000438092900004	A1983PY32000010
000437717400013	A1983PY32000010
000437365700002	A1983PY32000010
000437727200004	A1983PY32000010
000437397500001	A1983PY32000010
000437203200006	A1983PY32000010
000437111300003	A1983PY32000010
000437052100025	A1983PY32000010
000436867000003	A1983PY32000010
000434039700001	A1983PY32000010
000434767000007	A1983PY32000010
000434280300009	A1983PY32000010
000433977600006	A1983PY32000010
000433929100007	A1983PY32000010
000433303000010	A1983PY32000010
000432558900002	A1983PY32000010
000431743500074	A1983PY32000010
000431708000006	A1983PY32000010
000431542300001	A1983PY32000010
000430971500001	A1983PY32000010
000428470800012	A1983PY32000010
000429503700008	A1983PY32000010
000429364100004	A1983PY32000010
000428723900004	A1983PY32000010
000428275800007	A1983PY32000010
000427904000001	A1983PY32000010
000427952800002	A1983PY32000010
000425720400008	A1983PY32000010
000425420700001	A1983PY32000010
000425328600003	A1983PY32000010
000424535400012	A1983PY32000010
000424797100008	A1983PY32000010
000423249100009	A1983PY32000010
000423559900016	A1983PY32000010
000422844100027	A1983PY32000010
000419998700005	A1983PY32000010
000419973300011	A1983PY32000010
000419906100006	A1983PY32000010
000418989800027	A1983PY32000010
000418865300003	A1983PY32000010
000511376500006	A1983PY32000010
000510621400008	A1983PY32000010
000572076300007	A1983PY32000010
000533778500003	A1983PY32000010
000533778500007	A1983PY32000010
000533778500008	A1983PY32000010
000533778500012	A1983PY32000010
000509673107036	A1983PY32000010
000553365900021	A1983PY32000010
000417627400010	A1983PY32000010
000417715400006	A1983PY32000010
000417255000001	A1983PY32000010
000418704200001	A1983PY32000010
000417712400001	A1983PY32000010
000417570500012	A1983PY32000010
000417162600001	A1983PY32000010
000416924400001	A1983PY32000010
000443939200007	A1983PY32000010
000424239300003	A1983PY32000010
000419578300004	A1983PY32000010
000418374500007	A1983PY32000010
000416151600009	A1983PY32000010
000415777100018	A1983PY32000010
000415902600020	A1983PY32000010
000415886600004	A1983PY32000010
000415699100010	A1983PY32000010
000415969300002	A1983PY32000010
000415969300007	A1983PY32000010
000418761000008	A1983PY32000010
000414164400016	A1983PY32000010
000415128100006	A1983PY32000010
000425284500005	A1983PY32000010
000414335600004	A1983PY32000010
000415902600006	A1983PY32000010
000414615400004	A1983PY32000010
000414999900007	A1983PY32000010
000412787500023	A1983PY32000010
000412787500058	A1983PY32000010
000416346800001	A1983PY32000010
000415847800001	A1983PY32000010
000415282900060	A1983PY32000010
000415166000023	A1983PY32000010
000422898800023	A1983PY32000010
000418185900012	A1983PY32000010
000417660500004	A1983PY32000010
000416395000005	A1983PY32000010
000416418900008	A1983PY32000010
000415998300003	A1983PY32000010
000415733900007	A1983PY32000010
000416105200005	A1983PY32000010
000415165900011	A1983PY32000010
000415165900012	A1983PY32000010
000413441500022	A1983PY32000010
000413796700024	A1983PY32000010
000413439000021	A1983PY32000010
000411545500008	A1983PY32000010
000415596800008	A1983PY32000010
000419420900006	A1983PY32000010
000418363000019	A1983PY32000010
000413032800013	A1983PY32000010
000415595800001	A1983PY32000010
000427842900001	A1983PY32000010
000413153900002	A1983PY32000010
000406567500008	A1983PY32000010
000406567500040	A1983PY32000010
000412637600002	A1983PY32000010
000412601800019	A1983PY32000010
000426995000007	A1983PY32000010
000423034400005	A1983PY32000010
000422617500073	A1983PY32000010
000418324500005	A1983PY32000010
000417434300014	A1983PY32000010
000417415300013	A1983PY32000010
000416739300011	A1983PY32000010
000413609800006	A1983PY32000010
000413772000005	A1983PY32000010
000412647000002	A1983PY32000010
000412080300002	A1983PY32000010
000414322200002	A1983PY32000010
000413532400014	A1983PY32000010
000413505900014	A1983PY32000010
000411154500010	A1983PY32000010
000412445100003	A1983PY32000010
000410816200003	A1983PY32000010
000409533500008	A1983PY32000010
000412032600029	A1983PY32000010
000411648500010	A1983PY32000010
000411426100001	A1983PY32000010
000410666900050	A1983PY32000010
000410039200001	A1983PY32000010
000410243200008	A1983PY32000010
000409339700001	A1983PY32000010
000419342200021	A1983PY32000010
000416879800036	A1983PY32000010
000416726400004	A1983PY32000010
000415612500005	A1983PY32000010
000412650700045	A1983PY32000010
000414264000010	A1983PY32000010
000413692500001	A1983PY32000010
000411582000010	A1983PY32000010
000410937100012	A1983PY32000010
000410898400002	A1983PY32000010
000412072200008	A1983PY32000010
000424565700004	A1983PY32000010
000423281100010	A1983PY32000010
000406292200005	A1983PY32000010
000423040100011	A1983PY32000010
000408177800044	A1983PY32000010
000407595300011	A1983PY32000010
000415151900003	A1983PY32000010
000415151900009	A1983PY32000010
000410897000025	A1983PY32000010
000407929100003	A1983PY32000010
000407648100001	A1983PY32000010
000407512200003	A1983PY32000010
000407653700005	A1983PY32000010
000408769700001	A1983PY32000010
000408536000039	A1983PY32000010
000408355800042	A1983PY32000010
000407864400065	A1983PY32000010
000407550500058	A1983PY32000010
000404656000009	A1983PY32000010
000424622000002	A1983PY32000010
000412406400004	A1983PY32000010
000412645800012	A1983PY32000010
000410679900038	A1983PY32000010
000408622700008	A1983PY32000010
000406732600002	A1983PY32000010
000406873100003	A1983PY32000010
000406614300009	A1983PY32000010
000406647900007	A1983PY32000010
000404962200010	A1983PY32000010
000405727700006	A1983PY32000010
000406657100003	A1983PY32000010
