PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Baez, S; Herrera, E; Garcia, AM; Huepe, D; Santamaria-Garcia, H; Ibanez, A				Baez, Sandra; Herrera, Eduar; Garcia, Adolfo M.; Huepe, David; Santamaria-Garcia, Hernando; Ibanez, Agustin			Increased moral condemnation of accidental harm in institutionalized adolescents	SCIENTIFIC REPORTS																Ibanez, Agustin/H-7976-2015; Baez, Sandra/ABC-7150-2020; Garcia, Adolfo/E-7150-2017	Ibanez, Agustin/0000-0001-6758-5101; Garcia, Adolfo/0000-0002-6936-0114; Huepe, David/0000-0001-8351-5314; Herrera, Eduar/0000-0001-9409-245X; Santamaria Garcia, Hernando/0000-0001-9422-3579												2045-2322					AUG 2	2018	8								11609	10.1038/s41598-018-29956-9							WOS:000440621000026	30072749					
J	Blinder, S; Rolfe, M				Blinder, Scott; Rolfe, Meredith			Rethinking Compassion: Toward a Political Account of the Partisan Gender Gap in the United States	POLITICAL PSYCHOLOGY																													0162-895X	1467-9221				AUG	2018	39	4					889	906		10.1111/pops.12447							WOS:000439934500009						
J	Toccaceli, V; Fagnani, C; Eisenberg, N; Alessandri, G; Vitale, A; Stazi, MA				Toccaceli, Virgilia; Fagnani, Corrado; Eisenberg, Nancy; Alessandri, Guido; Vitale, Augusto; Stazi, Maria Antonietta			Adult Empathy: Possible Gender Differences in Gene-Environment Architecture for Cognitive and Emotional Components in a Large Italian Twin Sample	TWIN RESEARCH AND HUMAN GENETICS																Vitale, Augusto/AAG-5841-2019; Fagnani, Corrado/J-9069-2016; Alessandri, Guido/K-7863-2018; Toccaceli, Virgilia/N-7087-2017	Fagnani, Corrado/0000-0001-5771-7772; Alessandri, Guido/0000-0003-4731-5248; Toccaceli, Virgilia/0000-0002-9038-521X												1832-4274	1839-2628				JUN	2018	21	3					214	226		10.1017/thg.2018.19							WOS:000434379700005	29655398					
J	Warrier, V; Toro, R; Chakrabarti, B; Borglum, AD; Grove, J; Hinds, DA; Bourgeron, T; Baron-Cohen, S				Warrier, Varun; Toro, Roberto; Chakrabarti, Bhismadev; Borglum, Anders D.; Grove, Jakob; Hinds, David A.; Bourgeron, Thomas; Baron-Cohen, Simon		iPSYCH-Broad Autism Grp; 23andMe Res Team	Genome-wide analyses of self-reported empathy: correlations with autism, schizophrenia, and anorexia nervosa	TRANSLATIONAL PSYCHIATRY																; Grove, Jakob/K-8112-2015	Toro, Roberto/0000-0002-6671-858X; Chakrabarti, Bhismadev/0000-0002-6649-7895; Grove, Jakob/0000-0003-2284-5744; Borglum, Anders/0000-0001-8627-7219; Warrier, Varun/0000-0003-4532-8571; Baron-Cohen, Simon/0000-0001-9217-2544												2158-3188					MAR 12	2018	8								35	10.1038/s41398-017-0082-6							WOS:000428350600001	29527006					
J	Ravindran, N; McElwain, NL; Berry, D; Kramer, L				Ravindran, Niyantri; McElwain, Nancy L.; Berry, Daniel; Kramer, Laurie			Mothers' Dispositional Distress Reactivity as a Predictor of Maternal Support Following Momentary Fluctuations in Children's Aversive Behavior	DEVELOPMENTAL PSYCHOLOGY																													0012-1649	1939-0599				FEB	2018	54	2					209	219		10.1037/dev0000418							WOS:000426040000002	29058936					
J	Wijma, EM; Veerbeek, MA; Prins, M; Pot, AM; Willemse, BM				Wijma, Eva M.; Veerbeek, Marjolein A.; Prins, Marleen; Pot, Anne Margriet; Willemse, Bernadette M.			A virtual reality intervention to improve the understanding and empathy for people with dementia in informal caregivers: results of a pilot study	AGING & MENTAL HEALTH																	Pot, Anne Margriet/0000-0003-2917-4322; Veerbeek, Marjolein/0000-0002-2918-5323												1360-7863	1364-6915					2018	22	9					1115	1123		10.1080/13607863.2017.1348470							WOS:000450267000003	28691861					
J	Rohani, C; Kesbakhi, MS; Mohtashami, J				Rohani, Camelia; Kesbakhi, Maryam Sedaghati; Mohtashami, Jamileh			Clinical empathy with cancer patients: a content analysis of oncology nurses' perception	PATIENT PREFERENCE AND ADHERENCE																Rohani, Camelia/AAH-4563-2020; Rohani, Camelia/S-8741-2019	Rohani, Camelia/0000-0002-6456-6586												1177-889X						2018	12						1089	1098		10.2147/PPA.S156441							WOS:000436003600002	29950822					
J	Raine, A; Chen, FR				Raine, Adrian; Chen, Frances R.			The Cognitive, Affective, and Somatic Empathy Scales (CASES) for Children	JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY																Chen, Frances/I-9831-2019	Chen, Frances/0000-0001-5292-2486												1537-4416	1537-4424					2018	47	1					24	37		10.1080/15374416.2017.1295383							WOS:000423513700002	28318335					
J	Allen, M; Frank, D; Glen, JC; Fardo, F; Callaghan, MF; Rees, G				Allen, Micah; Frank, Darya; Glen, James C.; Fardo, Francesca; Callaghan, Martina F.; Rees, Geraint			Insula and somatosensory cortical myelination and iron markers underlie individual differences in empathy	SCIENTIFIC REPORTS																Callaghan, Martina F/H-5297-2019; Fardo, Francesca/J-7578-2019; Rees, Geraint/C-1493-2008; Allen, Micah/I-2265-2019	Callaghan, Martina F/0000-0003-0374-1659; Fardo, Francesca/0000-0002-9974-6261; Rees, Geraint/0000-0002-9623-7007; Allen, Micah/0000-0001-9399-4179; Frank, Darya/0000-0001-6081-6755												2045-2322					MAR 3	2017	7								43316	10.1038/srep43316							WOS:000396277700001	28256532					
B	Uzefovsky, F; Knafo-Noam, A		Sommerville, JA; Decety, J		Uzefovsky, Florina; Knafo-Noam, Ariel			EMPATHY DEVELOPMENT THROUGHOUT THE LIFE SPAN	SOCIAL COGNITION: DEVELOPMENT ACROSS THE LIFE SPAN	Frontiers of Developmental Science															Knafo-Noam, Ariel/E-8067-2011	Knafo-Noam, Ariel/0000-0003-0613-1960; Uzefovsky, Florina/0000-0003-4571-2514														978-1-138-85994-4; 978-1-315-52057-5; 978-1-138-85993-7				2017							71	97									WOS:000425727600005						
